Reference,Light S.,Temperature (K),Pressure (bar),Phase,Molar Feed Ratio,Additive,Amount of additive (mol/L),Semicon.Prep,Cocat.Prep,CalcTemp (K),"Co-catalyst 1 Loading, wt%",Co-catalyst 1,"Co-catalyst 2 Loading, wt%",Co-catalyst 2,Dopant1/Semiconductor1 Ratio,Dop1,Dopant2/Semiconductor1 Ratio,Dop2,Semiconductor1/Semiconductor2 Ratio,Semiconductor 1,Semiconductor 2,Band Gap Energy (eV),Total Gas Yield (µmol/gcat/h)
"A. Sharma, B.K. Lee, Photocatalytic reduction of carbon dioxide to methanol using nickel-loaded TiO2 supported on activated carbon fiber, Catal. Today. 298 (2017) 158–167. https://doi.org/10.1016/j.cattod.2017.05.003.",UV ,353,1,Liquid,No,No,0,Sol gel,Sol gel,298,1,NiO,0,No,0,No,0,No,41,TiO2,ACF,2.45,377.78
"A. Sharma, B.K. Lee, Photocatalytic reduction of carbon dioxide to methanol using nickel-loaded TiO2 supported on activated carbon fiber, Catal. Today. 298 (2017) 158–167. https://doi.org/10.1016/j.cattod.2017.05.003.",UV ,353,1,Liquid,No,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,41,TiO2,ACF,2.89,294.8
"A. Sharma, B.K. Lee, Photocatalytic reduction of carbon dioxide to methanol using nickel-loaded TiO2 supported on activated carbon fiber, Catal. Today. 298 (2017) 158–167. https://doi.org/10.1016/j.cattod.2017.05.003.",UV ,353,1,Liquid,No,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.19,197.31
"A. Sharma, B.K. Lee, Photocatalytic reduction of carbon dioxide to methanol using nickel-loaded TiO2 supported on activated carbon fiber, Catal. Today. 298 (2017) 158–167. https://doi.org/10.1016/j.cattod.2017.05.003.",Vis,353,1,Liquid,No,No,0,Sol gel,Sol gel,298,1,NiO,0,No,0,No,0,No,41,TiO2,ACF,2.45,625.6
"A. Sharma, B.K. Lee, Photocatalytic reduction of carbon dioxide to methanol using nickel-loaded TiO2 supported on activated carbon fiber, Catal. Today. 298 (2017) 158–167. https://doi.org/10.1016/j.cattod.2017.05.003.",Vis,353,1,Liquid,No,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,41,TiO2,ACF,2.89,214
"A. Sharma, B.K. Lee, Photocatalytic reduction of carbon dioxide to methanol using nickel-loaded TiO2 supported on activated carbon fiber, Catal. Today. 298 (2017) 158–167. https://doi.org/10.1016/j.cattod.2017.05.003.",Vis,353,1,Liquid,No,No,0,Sol gel,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.19,135.3
"R. Camarillo, S. Tostón, F. Martínez, C. Jiménez, J. Rincón, Enhancing the photocatalytic reduction of CO2 through engineering of catalysts with high pressure technology: Pd/TiO2 photocatalysts, J. Supercrit. Fluids. 123 (2017) 18–27. https://doi.org/10.1016/j.supflu.2016.12.010.",Vis,313,1,Gas,3.5,No,0,Thermal methods,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,3.05,2.09
"R. Camarillo, S. Tostón, F. Martínez, C. Jiménez, J. Rincón, Enhancing the photocatalytic reduction of CO2 through engineering of catalysts with high pressure technology: Pd/TiO2 photocatalysts, J. Supercrit. Fluids. 123 (2017) 18–27. https://doi.org/10.1016/j.supflu.2016.12.010.",Vis,313,1,Gas,3.5,No,0,Thermal methods,Thermal methods,298,1,Pd,0,No,0,No,0,No,100,TiO2,No,2.9,2.56
"R. Camarillo, S. Tostón, F. Martínez, C. Jiménez, J. Rincón, Enhancing the photocatalytic reduction of CO2 through engineering of catalysts with high pressure technology: Pd/TiO2 photocatalysts, J. Supercrit. Fluids. 123 (2017) 18–27. https://doi.org/10.1016/j.supflu.2016.12.010.",Vis,313,1,Gas,3.5,No,0,Thermal methods,Thermal methods,298,3,Pd,0,No,0,No,0,No,100,TiO2,No,3.02,1.6
"R. Camarillo, S. Tostón, F. Martínez, C. Jiménez, J. Rincón, Enhancing the photocatalytic reduction of CO2 through engineering of catalysts with high pressure technology: Pd/TiO2 photocatalysts, J. Supercrit. Fluids. 123 (2017) 18–27. https://doi.org/10.1016/j.supflu.2016.12.010.",Vis,313,1,Gas,3.5,No,0,Thermal methods,Thermal methods,298,1,Pd,0,No,0,No,0,No,100,TiO2,No,2.92,1.35
"R. Camarillo, S. Tostón, F. Martínez, C. Jiménez, J. Rincón, Enhancing the photocatalytic reduction of CO2 through engineering of catalysts with high pressure technology: Pd/TiO2 photocatalysts, J. Supercrit. Fluids. 123 (2017) 18–27. https://doi.org/10.1016/j.supflu.2016.12.010.",Vis,313,1,Gas,3.5,No,0,Thermal methods,Thermal methods,298,3,Pd,0,No,0,No,0,No,100,TiO2,No,2.19,1.97
"R. Camarillo, S. Tostón, F. Martínez, C. Jiménez, J. Rincón, Enhancing the photocatalytic reduction of CO2 through engineering of catalysts with high pressure technology: Pd/TiO2 photocatalysts, J. Supercrit. Fluids. 123 (2017) 18–27. https://doi.org/10.1016/j.supflu.2016.12.010.",Vis,313,1,Gas,3.5,No,0,Thermal methods,Thermal methods,298,1,Pd,0,No,0,No,0,No,100,TiO2,No,2.65,0.61
"R. Camarillo, S. Tostón, F. Martínez, C. Jiménez, J. Rincón, Enhancing the photocatalytic reduction of CO2 through engineering of catalysts with high pressure technology: Pd/TiO2 photocatalysts, J. Supercrit. Fluids. 123 (2017) 18–27. https://doi.org/10.1016/j.supflu.2016.12.010.",Vis,313,1,Gas,3.5,No,0,Thermal methods,Thermal methods,298,3,Pd,0,No,0,No,0,No,100,TiO2,No,2.92,1.12
"R. Camarillo, S. Tostón, F. Martínez, C. Jiménez, J. Rincón, Enhancing the photocatalytic reduction of CO2 through engineering of catalysts with high pressure technology: Pd/TiO2 photocatalysts, J. Supercrit. Fluids. 123 (2017) 18–27. https://doi.org/10.1016/j.supflu.2016.12.010.",Vis,313,1,Gas,3.5,No,0,Thermal methods,Thermal methods,298,3,Pd,0,No,0,No,0,No,100,TiO2,No,2.19,0.99
"R. Camarillo, S. Tostón, F. Martínez, C. Jiménez, J. Rincón, Enhancing the photocatalytic reduction of CO2 through engineering of catalysts with high pressure technology: Pd/TiO2 photocatalysts, J. Supercrit. Fluids. 123 (2017) 18–27. https://doi.org/10.1016/j.supflu.2016.12.010.",Vis,313,1,Gas,3.5,No,0,Thermal methods,Thermal methods,298,3,Pd,0,No,0,No,0,No,100,TiO2,No,3.04,1.47
"W. Zhang, Y. Li, X. Zhang, C. Li, Facile synthesis of highly active reduced graphene oxide-CuI catalyst through a simple combustion method for photocatalytic reduction of CO2 to methanol, J. Solid State Chem. 253 (2017) 47–51. https://doi.org/10.1016/j.jssc.2017.05.022.",Vis,298,1,Liquid,No,K2CO3,0.1,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,100,rG,No,,0.43
"W. Zhang, Y. Li, X. Zhang, C. Li, Facile synthesis of highly active reduced graphene oxide-CuI catalyst through a simple combustion method for photocatalytic reduction of CO2 to methanol, J. Solid State Chem. 253 (2017) 47–51. https://doi.org/10.1016/j.jssc.2017.05.022.",Vis,298,1,Liquid,No,K2CO3,0.1,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,41,rG,CuI,,2
"E. Liu, L. Kang, F. Wu, T. Sun, X. Hu, Y. Yang, H. Liu, J. Fan, Photocatalytic Reduction of CO2 into Methanol over Ag/TiO2 Noocomposites Enhanced by Surface Plasmon ResoNoce, Plasmonics. 9 (2014) 61–70. https://doi.org/10.1007/s11468-013-9598-7.",UV ,313,1,Liquid,No,No,0,Chemical reduction,NP,298,0,No,0,No,0,No,0,No,100,TiO2,No,,16.75
